Job #,Status,Specified Sub,Classification,Location,District,Type,Job Start,Job End,Sub Start,Sub End
9193125,Finished/Pre Arranged,2741567,PARAPROFESSIONAL,X008,10,Vacancy,6/2/2025 8:00,6/2/2025 14:50,6/2/2025 8:00,6/2/2025 14:50
9193125,Finished/Pre Arranged,2741567,PARAPROFESSIONAL,X008,10,Vacancy,6/3/2025 8:00,6/3/2025 14:50,6/3/2025 8:00,6/3/2025 14:50
9193125,Finished/Pre Arranged,2741567,PARAPROFESSIONAL,X008,10,Vacancy,6/4/2025 8:00,6/4/2025 14:50,6/4/2025 8:00,6/4/2025 14:50
9193125,Finished/Pre Arranged,2741567,PARAPROFESSIONAL,X008,10,Vacancy,6/9/2025 8:00,6/9/2025 14:50,6/9/2025 8:00,6/9/2025 14:50
9193125,Finished/Pre Arranged,2741567,PARAPROFESSIONAL,X008,10,Vacancy,6/10/2025 8:00,6/10/2025 14:50,6/10/2025 8:00,6/10/2025 14:50
9193125,Finished/Pre Arranged,2741567,PARAPROFESSIONAL,X008,10,Vacancy,6/11/2025 8:00,6/11/2025 14:50,6/11/2025 8:00,6/11/2025 14:50
9193125,Finished/Pre Arranged,2741567,PARAPROFESSIONAL,X008,10,Vacancy,6/12/2025 8:00,6/12/2025 14:50,6/12/2025 8:00,6/12/2025 14:50
9193125,Finished/Pre Arranged,2741567,PARAPROFESSIONAL,X008,10,Vacancy,6/13/2025 8:00,6/13/2025 14:50,6/13/2025 8:00,6/13/2025 14:50
9193125,Finished/Pre Arranged,2741567,PARAPROFESSIONAL,X008,10,Vacancy,6/16/2025 8:00,6/16/2025 14:50,6/16/2025 8:00,6/16/2025 14:50
9193125,Finished/Pre Arranged,2741567,PARAPROFESSIONAL,X008,10,Vacancy,6/17/2025 8:00,6/17/2025 14:50,6/17/2025 8:00,6/17/2025 14:50
9193125,Finished/Pre Arranged,2741567,PARAPROFESSIONAL,X008,10,Vacancy,6/18/2025 8:00,6/18/2025 14:50,6/18/2025 8:00,6/18/2025 14:50
9193125,Finished/Pre Arranged,2741567,PARAPROFESSIONAL,X008,10,Vacancy,6/20/2025 8:00,6/20/2025 14:50,6/20/2025 8:00,6/20/2025 14:50
9193125,Finished/Pre Arranged,2741567,PARAPROFESSIONAL,X008,10,Vacancy,6/23/2025 8:00,6/23/2025 14:50,6/23/2025 8:00,6/23/2025 14:50
9193125,Finished/Pre Arranged,2741567,PARAPROFESSIONAL,X008,10,Vacancy,6/24/2025 8:00,6/24/2025 14:50,6/24/2025 8:00,6/24/2025 14:50
9193125,Finished/Pre Arranged,2741567,PARAPROFESSIONAL,X008,10,Vacancy,6/25/2025 8:00,6/25/2025 14:50,6/25/2025 8:00,6/25/2025 14:50
9263256,Finished/IVR Sub Search,1286712,PARAPROFESSIONAL,M303,02,Vacancy,6/2/2025 8:40,6/2/2025 15:00,6/2/2025 8:40,6/2/2025 15:00
9263256,Finished/IVR Sub Search,1286712,PARAPROFESSIONAL,M303,02,Vacancy,6/3/2025 8:40,6/3/2025 15:00,6/3/2025 8:40,6/3/2025 15:00
9263256,Finished/IVR Sub Search,1286712,PARAPROFESSIONAL,M303,02,Vacancy,6/4/2025 8:40,6/4/2025 15:00,6/4/2025 8:40,6/4/2025 15:00
9263256,Finished/IVR Sub Search,1286712,PARAPROFESSIONAL,M303,02,Vacancy,6/6/2025 8:40,6/6/2025 15:00,6/6/2025 8:40,6/6/2025 15:00
9263256,Finished/IVR Sub Search,1286712,PARAPROFESSIONAL,M303,02,Vacancy,6/9/2025 8:40,6/9/2025 15:00,6/9/2025 8:40,6/9/2025 15:00
9263256,Finished/IVR Sub Search,1286712,PARAPROFESSIONAL,M303,02,Vacancy,6/10/2025 8:40,6/10/2025 15:00,6/10/2025 8:40,6/10/2025 15:00
9263256,Finished/IVR Sub Search,1286712,PARAPROFESSIONAL,M303,02,Vacancy,6/11/2025 8:40,6/11/2025 15:00,6/11/2025 8:40,6/11/2025 15:00
9263256,Finished/IVR Sub Search,1286712,PARAPROFESSIONAL,M303,02,Vacancy,6/12/2025 8:40,6/12/2025 15:00,6/12/2025 8:40,6/12/2025 15:00
9263256,Finished/IVR Sub Search,1286712,PARAPROFESSIONAL,M303,02,Vacancy,6/13/2025 8:40,6/13/2025 15:00,6/13/2025 8:40,6/13/2025 15:00
9263256,Finished/IVR Sub Search,1286712,PARAPROFESSIONAL,M303,02,Vacancy,6/16/2025 8:40,6/16/2025 15:00,6/16/2025 8:40,6/16/2025 15:00
9263256,Finished/IVR Sub Search,1286712,PARAPROFESSIONAL,M303,02,Vacancy,6/17/2025 8:40,6/17/2025 15:00,6/17/2025 8:40,6/17/2025 15:00
9263256,Finished/IVR Sub Search,1286712,PARAPROFESSIONAL,M303,02,Vacancy,6/18/2025 8:40,6/18/2025 15:00,6/18/2025 8:40,6/18/2025 15:00
9263256,Finished/IVR Sub Search,1286712,PARAPROFESSIONAL,M303,02,Vacancy,6/20/2025 8:40,6/20/2025 15:00,6/20/2025 8:40,6/20/2025 15:00
9263256,Finished/IVR Sub Search,1286712,PARAPROFESSIONAL,M303,02,Vacancy,6/23/2025 8:40,6/23/2025 15:00,6/23/2025 8:40,6/23/2025 15:00
9263256,Finished/IVR Sub Search,1286712,PARAPROFESSIONAL,M303,02,Vacancy,6/24/2025 8:40,6/24/2025 15:00,6/24/2025 8:40,6/24/2025 15:00
9263256,Finished/IVR Sub Search,1286712,PARAPROFESSIONAL,M303,02,Vacancy,6/25/2025 8:40,6/25/2025 15:00,6/25/2025 8:40,6/25/2025 15:00
9263256,Finished/IVR Sub Search,1286712,PARAPROFESSIONAL,M303,02,Vacancy,6/26/2025 8:40,6/26/2025 15:00,6/26/2025 8:40,6/26/2025 15:00
9263922,Finished/Pre Arranged,2710881,PARAPROFESSIONAL,Q398,30,Vacancy,6/2/2025 7:50,6/2/2025 14:40,6/2/2025 7:50,6/2/2025 14:40
9263922,Finished/Pre Arranged,2710881,PARAPROFESSIONAL,Q398,30,Vacancy,6/3/2025 7:50,6/3/2025 14:40,6/3/2025 7:50,6/3/2025 14:40
9263922,Finished/Pre Arranged,2710881,PARAPROFESSIONAL,Q398,30,Vacancy,6/4/2025 7:50,6/4/2025 14:40,6/4/2025 7:50,6/4/2025 14:40
9263922,Finished/Pre Arranged,2710881,PARAPROFESSIONAL,Q398,30,Vacancy,6/9/2025 7:50,6/9/2025 14:40,6/9/2025 7:50,6/9/2025 14:40
9263922,Finished/Pre Arranged,2710881,PARAPROFESSIONAL,Q398,30,Vacancy,6/10/2025 7:50,6/10/2025 14:40,6/10/2025 7:50,6/10/2025 14:40
9263922,Finished/Pre Arranged,2710881,PARAPROFESSIONAL,Q398,30,Vacancy,6/11/2025 7:50,6/11/2025 14:40,6/11/2025 7:50,6/11/2025 14:40
9263922,Finished/Pre Arranged,2710881,PARAPROFESSIONAL,Q398,30,Vacancy,6/12/2025 7:50,6/12/2025 14:40,6/12/2025 7:50,6/12/2025 14:40
9263922,Finished/Pre Arranged,2710881,PARAPROFESSIONAL,Q398,30,Vacancy,6/13/2025 7:50,6/13/2025 14:40,6/13/2025 7:50,6/13/2025 14:40
9263922,Finished/Pre Arranged,2710881,PARAPROFESSIONAL,Q398,30,Vacancy,6/16/2025 7:50,6/16/2025 14:40,6/16/2025 7:50,6/16/2025 14:40
9263922,Finished/Pre Arranged,2710881,PARAPROFESSIONAL,Q398,30,Vacancy,6/17/2025 7:50,6/17/2025 14:40,6/17/2025 7:50,6/17/2025 14:40
9263922,Finished/Pre Arranged,2710881,PARAPROFESSIONAL,Q398,30,Vacancy,6/18/2025 7:50,6/18/2025 14:40,6/18/2025 7:50,6/18/2025 14:40
9263922,Finished/Pre Arranged,2710881,PARAPROFESSIONAL,Q398,30,Vacancy,6/20/2025 7:50,6/20/2025 14:40,6/20/2025 7:50,6/20/2025 14:40
9263922,Finished/Pre Arranged,2710881,PARAPROFESSIONAL,Q398,30,Vacancy,6/23/2025 7:50,6/23/2025 14:40,6/23/2025 7:50,6/23/2025 14:40
9263922,Finished/Pre Arranged,2710881,PARAPROFESSIONAL,Q398,30,Vacancy,6/24/2025 7:50,6/24/2025 14:40,6/24/2025 7:50,6/24/2025 14:40
9263922,Finished/Pre Arranged,2710881,PARAPROFESSIONAL,Q398,30,Vacancy,6/25/2025 7:50,6/25/2025 14:40,6/25/2025 7:50,6/25/2025 14:40
9263922,Finished/Pre Arranged,2710881,PARAPROFESSIONAL,Q398,30,Vacancy,6/26/2025 7:50,6/26/2025 14:40,6/26/2025 7:50,6/26/2025 14:40
9273710,Finished/Web Sub Search,2671289,PARAPROFESSIONAL,M140,01,Vacancy,6/2/2025 8:00,6/2/2025 14:20,6/2/2025 8:00,6/2/2025 14:20
9273710,Finished/Web Sub Search,2671289,PARAPROFESSIONAL,M140,01,Vacancy,6/3/2025 8:00,6/3/2025 14:20,6/3/2025 8:00,6/3/2025 14:20
9273710,Finished/Web Sub Search,2671289,PARAPROFESSIONAL,M140,01,Vacancy,6/4/2025 8:00,6/4/2025 14:20,6/4/2025 8:00,6/4/2025 14:20
9273710,Finished/Web Sub Search,2671289,PARAPROFESSIONAL,M140,01,Vacancy,6/9/2025 8:00,6/9/2025 14:20,6/9/2025 8:00,6/9/2025 14:20
9273710,Finished/Web Sub Search,2671289,PARAPROFESSIONAL,M140,01,Vacancy,6/10/2025 8:00,6/10/2025 14:20,6/10/2025 8:00,6/10/2025 14:20
9273710,Finished/Web Sub Search,2671289,PARAPROFESSIONAL,M140,01,Vacancy,6/11/2025 8:00,6/11/2025 14:20,6/11/2025 8:00,6/11/2025 14:20
9273710,Finished/Web Sub Search,2671289,PARAPROFESSIONAL,M140,01,Vacancy,6/12/2025 8:00,6/12/2025 14:20,6/12/2025 8:00,6/12/2025 14:20
9273710,Finished/Web Sub Search,2671289,PARAPROFESSIONAL,M140,01,Vacancy,6/13/2025 8:00,6/13/2025 14:20,6/13/2025 8:00,6/13/2025 14:20
9273710,Finished/Web Sub Search,2671289,PARAPROFESSIONAL,M140,01,Vacancy,6/16/2025 8:00,6/16/2025 14:20,6/16/2025 8:00,6/16/2025 14:20
9273710,Finished/Web Sub Search,2671289,PARAPROFESSIONAL,M140,01,Vacancy,6/17/2025 8:00,6/17/2025 14:20,6/17/2025 8:00,6/17/2025 14:20
9273710,Finished/Web Sub Search,2671289,PARAPROFESSIONAL,M140,01,Vacancy,6/18/2025 8:00,6/18/2025 14:20,6/18/2025 8:00,6/18/2025 14:20
9273710,Finished/Web Sub Search,2671289,PARAPROFESSIONAL,M140,01,Vacancy,6/20/2025 8:00,6/20/2025 14:20,6/20/2025 8:00,6/20/2025 14:20
9273710,Finished/Web Sub Search,2671289,PARAPROFESSIONAL,M140,01,Vacancy,6/23/2025 8:00,6/23/2025 14:20,6/23/2025 8:00,6/23/2025 14:20
9273710,Finished/Web Sub Search,2671289,PARAPROFESSIONAL,M140,01,Vacancy,6/24/2025 8:00,6/24/2025 14:20,6/24/2025 8:00,6/24/2025 14:20
9273710,Finished/Web Sub Search,2671289,PARAPROFESSIONAL,M140,01,Vacancy,6/25/2025 8:00,6/25/2025 14:20,6/25/2025 8:00,6/25/2025 14:20
9273710,Finished/Web Sub Search,2671289,PARAPROFESSIONAL,M140,01,Vacancy,6/26/2025 8:00,6/26/2025 14:20,6/26/2025 8:00,6/26/2025 14:20
9276042,Finished/Pre Arranged,2734609,PARAPROFESSIONAL,Q050,28,Vacancy,6/2/2025 8:00,6/2/2025 14:50,6/2/2025 8:00,6/2/2025 14:50
