OBJECTID,SchoolDist,Shape__Area,Shape__Length
1,4,52615581.6369343,52078.4121686632
2,19,199876477.506748,173935.429735785
3,9,82980176.5706143,44448.1144858119
4,6,96344639.817307,68834.8677645949
5,1,35166417.3225489,28647.9490639106
6,3,113406260.550919,51937.1814164451
7,5,52531986.7499026,44537.0324351221
8,2,279506456.170054,207557.30968855
9,30,318235207.072653,152555.476440832
10,18,175191726.76653,120925.183951592
11,22,385610484.558823,270188.602727508
12,27,790729344.169693,572129.40861922
13,26,424301105.723514,131630.790268536
14,29,420205351.316553,135111.04342296
15,12,69088932.0513886,48690.5500453616
16,20,242738512.750866,94300.786032411
17,31,1604156603.5457,429988.864435922
18,8,258761250.609991,222041.02725909
19,10,282542391.028311,94958.3493857336
20,24,395025721.834044,128541.892909762
21,15,196154191.500292,153439.200217787
22,13,104874552.328037,86711.9068760239
23,17,128435871.163641,68355.1680527371
24,25,443786222.153432,176207.037385183
25,28,247502766.66049,115756.55531163
26,14,150290702.254766,97002.2936544943
27,16,46763798.8285065,35848.908573952
28,11,393232448.993766,304543.086491145
29,7,92258640.5110087,65300.0185986027
30,23,47401020.9738522,40295.8865180529
31,32,51898730.4031849,37251.1617181877
32,21,210270498.769989,123832.400611522
33,10,3282962.96307373,7883.37096611585
